index,SAYUR-SAYURAN,UMBI-UMBIAN,IKAN,TELUR,SUSU,PADI PADIAN,DAGING,KONSUMSI
341,16729,1981,21387,5063,7558,16222,12605,high_consumption
342,13576,1245,20266,3983,4902,17928,7835,high_consumption
343,13599,1365,23241,5368,5496,19479,7609,high_consumption
344,9829,1105,17909,4595,3609,17872,7164,middle_comsumption
345,9972,982,19098,3959,2967,19842,4872,middle_comsumption
346,12297,1106,22408,4448,5016,16662,7246,high_consumption
347,8398,577,17313,3773,3523,17481,3972,middle_comsumption
348,8621,619,15621,3832,2079,16804,3664,middle_comsumption
349,8279,583,16239,4629,4431,18959,4471,middle_comsumption
350,12296,1518,22382,5568,5128,17535,9312,high_consumption
351,13615,1009,18876,4637,5806,18078,8054,high_consumption
352,9275,921,18272,5098,4641,16167,5957,high_consumption
353,10602,1158,19532,5192,6766,15954,9741,high_consumption
354,14934,2273,22062,6093,7704,16154,11837,high_consumption
355,16242,1081,21857,4966,4485,17396,8498,high_consumption
356,11548,943,22784,4465,7484,18083,12701,high_consumption
357,14122,1579,20206,5112,5129,16717,7703,high_consumption
358,17660,1706,26093,5752,5879,19405,11137,high_consumption
359,19062,1744,25241,6031,7869,18616,14705,high_consumption
360,13742,1069,17039,4712,4397,15628,5459,high_consumption
361,17825,2759,27213,5493,5744,24937,15437,high_consumption
362,15941,2024,23566,5222,8516,16819,14594,high_consumption
363,15992,1820,21637,5596,7279,15956,11933,high_consumption
364,13961,1971,22525,4367,8483,16417,11914,high_consumption
365,18600,2345,22145,4842,4849,24655,15595,high_consumption
366,17257,1658,20160,5222,5667,22633,8183,high_consumption
367,17254,1580,25520,6005,5916,21120,8729,high_consumption
368,14118,2462,23590,5576,5932,20738,10356,high_consumption
369,15753,1602,19562,5362,4794,18358,9241,high_consumption
370,13985,2016,15697,2627,3609,20902,5707,middle_comsumption
371,15443,2244,17329,2470,4841,18390,10153,high_consumption
372,15282,5600,18957,2207,4634,17579,2790,middle_comsumption
373,15387,3537,20428,3188,3510,20235,8544,middle_comsumption
374,15823,2480,18344,2715,4341,21084,9355,middle_comsumption
375,16849,2317,22162,3596,6109,19979,7883,high_consumption
376,12664,1431,16203,2437,3233,20048,3657,middle_comsumption
377,13045,3395,15514,2427,3460,19325,3685,middle_comsumption
378,13861,1692,16826,3027,4508,19719,7837,middle_comsumption
379,12778,1159,15636,2159,2637,20804,2990,middle_comsumption
380,15034,1730,18420,3137,4231,23417,6803,middle_comsumption
381,16209,1830,20611,3997,5118,19568,9284,high_consumption
382,14637,1716,18852,2897,5444,18804,6025,high_consumption
383,16064,2529,21567,2878,8045,20612,9279,high_consumption
384,10874,1623,13896,2694,5157,19626,3233,high_consumption
385,8869,4314,13994,1897,1598,18721,1287,middle_comsumption
386,12483,1857,14788,2898,4017,17910,3305,middle_comsumption
387,13958,2026,23703,3565,4001,18544,5391,middle_comsumption
388,13369,1665,17315,2807,3950,20934,7154,middle_comsumption
389,8688,1358,13054,2020,2542,21508,1863,middle_comsumption
390,9125,701,13501,2520,2583,16691,2638,middle_comsumption
391,8346,883,12062,2084,2058,17827,1889,middle_comsumption
392,10185,1292,13220,2243,1830,18759,3554,middle_comsumption
393,9739,1657,13775,2083,4127,17550,2618,middle_comsumption
394,11432,1194,10201,2675,2803,21400,3127,middle_comsumption
395,10527,3981,14038,2679,2322,23438,1889,middle_comsumption
396,14280,2156,22505,3350,4300,20378,8648,high_consumption
397,11913,1025,14870,3308,5548,17319,4900,high_consumption
398,8334,1694,15441,2775,2176,19227,1604,middle_comsumption
399,8116,1732,16823,2889,2522,20579,3437,middle_comsumption
400,8616,2018,14395,2397,1717,16863,2796,middle_comsumption
401,7501,1323,14025,2636,2062,15854,3613,middle_comsumption
402,6803,513,14248,3380,3051,15081,2788,middle_comsumption
403,8554,1135,13881,3781,3674,15809,3322,middle_comsumption
404,7033,1066,14179,2600,2118,15630,1229,middle_comsumption
405,8996,1345,18160,3292,3972,17590,4657,middle_comsumption
406,8542,1137,19097,4345,3636,22804,6236,middle_comsumption
407,8156,783,17966,3246,2841,18269,3793,middle_comsumption
408,6223,780,14483,2516,2748,13942,2075,middle_comsumption
409,7029,596,15466,3243,2900,14262,3257,middle_comsumption
410,7385,756,15756,3559,2682,15931,3080,middle_comsumption
411,7671,605,16084,3091,3662,14008,4143,middle_comsumption
412,5623,500,15143,2248,1935,14496,1988,middle_comsumption
413,7042,1184,12410,3500,2522,16591,2890,middle_comsumption
414,7512,1433,13817,3536,2785,17799,4257,middle_comsumption
415,9009,1114,11443,2603,4099,21225,10054,middle_comsumption
416,7758,1311,15802,2784,3050,16188,2928,middle_comsumption
417,9058,1321,18232,3580,3752,19727,4746,middle_comsumption
418,8726,1072,13655,2927,3477,22064,10901,middle_comsumption
419,12603,1579,23317,4452,6445,16145,9754,high_consumption
420,7672,702,15925,2981,5044,14943,3156,high_consumption
421,8257,1210,17731,3216,4669,14709,4009,high_consumption
422,6900,1169,11273,2374,1360,17078,1655,middle_comsumption
423,6787,911,13313,2226,2119,19350,685,middle_comsumption
424,8904,1719,17672,3451,3325,19155,5762,middle_comsumption
425,9277,1436,18901,2851,4309,15235,2947,middle_comsumption
